,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
0,southeast,5,mar,fri,low,low,low,low,low,high,high,no,no
1,southeast,4,oct,tue,low,low,high,low,low,low,low,no,no
2,southeast,4,oct,sat,low,low,high,low,low,low,low,no,no
3,northeast,6,mar,fri,high,low,low,low,low,high,low,yes,no
4,northeast,6,mar,sun,low,low,low,high,low,high,low,no,no
5,northeast,6,aug,sun,high,low,mid,high,high,low,high,no,no
6,northeast,6,aug,mon,high,low,mid,low,high,low,low,no,no
7,northeast,6,aug,mon,high,low,mid,high,low,high,low,no,no
8,northeast,6,sep,tue,high,low,high,low,low,high,high,no,no
9,southeast,5,sep,sat,high,low,high,low,high,low,low,no,no
10,southeast,5,sep,sat,high,low,high,low,low,high,high,no,no
11,southeast,5,sep,sat,high,low,high,high,high,low,low,no,no
12,southeast,5,aug,fri,low,low,high,low,low,high,high,no,no
13,southeast,5,sep,mon,high,low,high,low,high,low,low,no,no
14,southeast,5,sep,wed,high,low,high,high,high,low,high,no,no
15,southeast,5,sep,fri,high,low,high,high,high,low,high,no,no
16,southwest,5,mar,sat,high,low,low,low,low,low,high,no,no
17,southeast,5,oct,mon,low,low,mid,low,low,high,high,no,no
18,southeast,4,mar,wed,low,low,low,low,low,low,low,no,no
19,southeast,4,apr,sat,low,low,low,low,low,low,high,no,no
20,southeast,4,sep,tue,high,low,high,low,low,low,low,no,no
21,southwest,4,sep,mon,high,low,veryhigh,high,high,low,low,no,no
22,southeast,4,jun,sun,high,low,low,high,high,low,high,no,no
23,southeast,4,aug,sat,low,low,mid,low,high,low,high,no,no
24,southeast,4,aug,sat,high,low,mid,high,high,low,high,no,no
25,southeast,4,aug,sun,high,low,mid,high,low,high,high,no,no
26,southeast,4,sep,fri,high,low,high,high,high,low,high,no,no
27,southeast,4,sep,mon,high,low,high,low,high,high,low,no,no
28,southeast,3,sep,sat,high,low,veryhigh,low,high,low,low,no,no
29,southeast,3,sep,sun,high,low,veryhigh,low,high,low,low,no,no
30,southeast,3,sep,fri,high,low,high,high,high,low,low,no,no
31,southeast,3,sep,mon,low,low,high,low,low,high,high,no,no
32,southeast,3,sep,fri,low,low,high,low,high,low,low,no,no
33,southeast,3,sep,sun,high,low,veryhigh,low,low,low,low,no,no
34,southeast,3,sep,mon,high,low,veryhigh,high,high,low,low,no,no
35,southeast,3,sep,tue,low,low,veryhigh,low,low,high,high,no,no
36,southeast,3,oct,tue,low,low,high,low,high,low,high,no,no
37,southeast,4,oct,fri,low,low,high,low,low,high,high,no,no
38,southeast,3,oct,sat,low,low,high,low,low,low,low,no,no
39,southwest,4,mar,tue,low,low,low,low,low,low,low,no,no
40,southwest,4,jul,tue,low,low,low,low,high,low,low,no,no
41,southwest,4,aug,sat,low,low,mid,low,low,low,high,no,no
42,southwest,4,aug,tue,high,low,mid,high,low,high,high,no,no
43,southwest,4,sep,sat,high,low,high,low,high,high,low,no,no
44,southwest,4,sep,wed,low,low,veryhigh,low,low,high,high,no,no
45,northwest,6,sep,wed,high,low,high,high,high,low,low,no,no
46,northwest,6,sep,mon,high,low,high,low,low,high,low,no,no
47,northeast,6,jul,mon,high,low,mid,high,high,low,low,no,no
48,southwest,4,mar,mon,low,low,low,low,low,low,low,no,no
