ID,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
0,7,5,mar,fri,low,low,low,low,low,high,high,no,no
1,7,4,oct,tue,low,low,high,low,low,low,low,no,no
2,7,4,oct,sat,low,low,high,low,low,low,low,no,no
3,8,6,mar,fri,high,low,low,low,low,high,low,yes,no
4,8,6,mar,sun,low,low,low,high,low,high,low,no,no
5,8,6,aug,sun,high,low,low,high,high,low,high,no,no
6,8,6,aug,mon,high,low,low,low,high,low,low,no,no
7,8,6,aug,mon,high,low,high,high,low,high,low,no,no
8,8,6,sep,tue,high,low,high,low,low,high,high,no,no
9,7,5,sep,sat,high,low,high,low,high,low,low,no,no
10,7,5,sep,sat,high,low,high,low,low,high,high,no,no
11,7,5,sep,sat,high,low,high,high,high,low,low,no,no
12,6,5,aug,fri,low,low,high,low,low,high,high,no,no
13,6,5,sep,mon,high,low,high,low,high,low,low,no,no
14,6,5,sep,wed,high,low,high,high,high,low,high,no,no
15,6,5,sep,fri,high,low,high,high,high,low,high,no,no
16,5,5,mar,sat,high,low,low,low,low,low,high,no,no
17,8,5,oct,mon,low,low,high,low,low,high,high,no,no
18,6,4,mar,wed,low,low,low,low,low,low,low,no,no
19,6,4,apr,sat,low,low,low,low,low,low,high,no,no
20,6,4,sep,tue,high,low,high,low,low,low,low,no,no
21,5,4,sep,mon,high,low,high,high,high,low,low,no,no
22,7,4,jun,sun,high,low,low,high,high,low,high,no,no
23,7,4,aug,sat,low,low,low,low,high,low,high,no,no
24,7,4,aug,sat,high,low,high,high,high,low,high,no,no
25,7,4,aug,sun,high,low,high,high,low,high,high,no,no
26,7,4,sep,fri,high,low,high,high,high,low,high,no,no
27,7,4,sep,mon,high,low,high,low,high,high,low,no,no
28,6,3,sep,sat,high,low,high,low,high,low,low,no,no
29,6,3,sep,sun,high,low,high,low,high,low,low,no,no
30,6,3,sep,fri,high,low,high,high,high,low,low,no,no
31,6,3,sep,mon,low,low,high,low,low,high,high,no,no
32,6,3,sep,fri,low,low,high,low,high,low,low,no,no
33,6,3,sep,sun,high,low,high,low,low,low,low,no,no
34,6,3,sep,mon,high,low,high,high,high,low,low,no,no
35,6,3,sep,tue,low,low,high,low,low,high,high,no,no
36,6,3,oct,tue,low,low,high,low,high,low,high,no,no
37,7,4,oct,fri,low,low,high,low,low,high,high,no,no
38,7,3,oct,sat,low,low,high,low,low,low,low,no,no
39,4,4,mar,tue,low,low,low,low,low,low,low,no,no
40,4,4,jul,tue,low,low,low,low,high,low,low,no,no
41,4,4,aug,sat,low,low,high,low,low,low,high,no,no
42,4,4,aug,tue,high,low,high,high,low,high,high,no,no
43,4,4,sep,sat,high,low,high,low,high,high,low,no,no
44,4,4,sep,wed,low,low,high,low,low,high,high,no,no
45,5,6,sep,wed,high,low,high,high,high,low,low,no,no
46,5,6,sep,mon,high,low,high,low,low,high,low,no,no
47,6,6,jul,mon,high,low,low,high,high,low,low,no,no
48,4,4,mar,mon,low,low,low,low,low,low,low,no,no
49,4,4,mar,mon,low,low,low,low,low,high,high,no,no
50,4,4,sep,thu,high,low,high,high,high,low,low,no,no
51,4,3,aug,sun,low,low,high,low,high,low,low,no,no
52,4,3,aug,wed,high,low,high,high,high,low,high,no,no
53,4,3,aug,wed,high,low,high,high,high,low,high,no,no
54,4,3,aug,thu,high,low,high,low,low,high,low,no,no
55,4,3,sep,thu,high,low,high,high,high,low,low,no,no
56,4,3,sep,tue,low,low,high,low,low,high,high,no,no
57,4,3,oct,sun,high,low,high,low,low,high,low,no,no
58,2,2,feb,mon,low,low,low,low,low,low,high,no,no
59,2,2,feb,fri,low,low,low,low,low,high,low,no,no
60,2,2,mar,sun,low,low,low,high,low,low,high,no,no
61,2,2,mar,sun,low,low,low,high,low,high,high,no,no
62,2,2,aug,thu,high,low,low,low,low,low,high,no,no
63,2,2,aug,sun,low,low,high,low,high,low,low,no,no
64,2,2,aug,mon,high,low,high,low,high,low,low,no,no
65,2,2,aug,thu,high,low,high,low,low,low,high,no,no
66,2,2,sep,fri,high,low,high,high,high,low,high,no,no
67,2,2,sep,fri,high,low,high,high,high,low,high,no,no
68,2,2,sep,fri,high,low,high,high,high,low,high,no,no
69,4,5,mar,fri,high,low,low,low,low,low,high,no,no
70,4,5,mar,fri,high,low,low,high,low,low,high,no,no
71,4,5,sep,fri,high,low,high,high,low,low,low,no,no
